"year","community_area","cluster","neighbourhood","xls_url"
"2006","Assiniboine South","Assiniboine South","Betsworth","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Betsworth/Betsworth.xls"
"2006","Assiniboine South","Assiniboine South","Edgeland","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Edgeland/Edgeland.xls"
"2006","Assiniboine South","Assiniboine South","Elmhurst","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Elmhurst/Elmhurst.xls"
"2006","Assiniboine South","Assiniboine South","Eric Coy","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Eric Coy/Eric Coy.xls"
"2006","Assiniboine South","Assiniboine South","Marlton","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Marlton/Marlton.xls"
"2006","Assiniboine South","Assiniboine South","Old Tuxedo","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Old Tuxedo/Old Tuxedo.xls"
"2006","Assiniboine South","Assiniboine South","Ridgedale","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Ridgedale/Ridgedale.xls"
"2006","Assiniboine South","Assiniboine South","Ridgewood South","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Ridgewood South/Ridgewood South.xls"
"2006","Assiniboine South","Assiniboine South","River West Park","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/River West Park/River West Park.xls"
"2006","Assiniboine South","Assiniboine South","Roblin Park","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Roblin Park/Roblin Park.xls"
"2006","Assiniboine South","Assiniboine South","South Tuxedo","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/South Tuxedo/South Tuxedo.xls"
"2006","Assiniboine South","Assiniboine South","Southboine","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Southboine/Southboine.xls"
"2006","Assiniboine South","Assiniboine South","Tuxedo","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Tuxedo/Tuxedo.xls"
"2006","Assiniboine South","Assiniboine South","Varsity View","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Varsity View/Varsity View.xls"
"2006","Assiniboine South","Assiniboine South","Vialoux","/Census/2006/Community Areas/Assiniboine South Neighbourhood Cluster/Assiniboine South Neighbourhoods/Vialoux/Vialoux.xls"
